0,Avery
0,Carteret
0,Columbus
0,Cumberland
0,Davie
0,Granville
0,Halifax
0,Hertford
0,Hyde
0,Johnston
0,Lee
0,Lincoln
0,New Hanover
0,Orange
0,Pamlico
0,Perquimans
0,Pitt
0,Randolph
0,Rockingham
0,Rutherford
0,Scotland
0,Stanly
0,Surry
0,Transylvania
0,Yancey
1,Ashe
1,Bladen
1,Buncombe
1,Caldwell
1,Caswell
1,Clay
1,Cleveland
1,Craven
1,Duplin
1,Durham
1,Forsyth
1,Gates
1,Graham
1,Greene
1,Harnett
1,Hoke
1,Iredell
1,Jackson
1,Montgomery
1,Nash
1,Northampton
1,Polk
1,Union
1,Vance
1,Washington
2,Alamance
2,Anson
2,Brunswick
2,Cabarrus
2,Catawba
2,Currituck
2,Davidson
2,Gaston
2,Haywood
2,Lenoir
2,Macon
2,Martin
2,McDowell
2,Moore
2,Onslow
2,Pasquotank
2,Person
2,Robeson
2,Sampson
2,Stokes
2,Tyrrell
2,Wake
2,Warren
2,Wilkes
2,Wilson
3,Alexander
3,Alleghany
3,Beaufort
3,Bertie
3,Burke
3,Camden
3,Chatham
3,Cherokee
3,Chowan
3,Dare
3,Edgecombe
3,Franklin
3,Guilford
3,Henderson
3,Jones
3,Madison
3,Mecklenburg
3,Mitchell
3,Pender
3,Richmond
3,Rowan
3,Swain
3,Watauga
3,Wayne
3,Yadkin
